AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT I,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2023-24,40,,4.6,5.9,0,48,21,62,"1,054",> 100%
State,Alabama,All,2023-24,41,,5.5,6.8,0,60,20,74,"1,095",> 100%
State,Alabama,All,2023-24,42,,4.5,5.5,0,47,14,57,"1,045",> 100%
State,Alabama,All,2023-24,43,,4.9,5.3,1,52,8,58,"1,086",> 100%
State,Alabama,All,2023-24,44,,4.7,6.1,1,52,20,69,"1,124",> 100%
State,Alabama,All,2023-24,45,,5.6,6.8,1,60,19,74,"1,094",> 100%
State,Alabama,All,2023-24,46,,7.1,7.8,5,74,18,87,"1,119",> 100%
State,Alabama,All,2023-24,47,,4.3,5.4,1,47,14,60,"1,109",> 100%
State,Alabama,All,2023-24,48,,6.2,7.9,2,69,26,90,"1,142",> 100%
State,Alabama,All,2023-24,49,,5.5,6.7,4,64,22,84,"1,245",> 100%
State,Alabama,All,2023-24,50,,6.7,8,6,76,29,99,"1,233",> 100%
State,Alabama,All,2023-24,51,,6,7.9,14,63,34,102,"1,284",> 100%
State,Alabama,All,2023-24,52,,8.2,10.1,25,80,36,130,"1,283",> 100%
State,Alabama,All,2023-24,1,,8.8,10.4,24,92,31,136,"1,313",> 100%
State,Alabama,All,2023-24,2,,7.7,10.1,19,83,49,134,"1,329",> 100%
State,Alabama,All,2023-24,3,,7.1,9.4,8,85,43,122,"1,303",> 100%
State,Alabama,All,2023-24,4,,8,9.6,13,95,35,130,"1,355",> 100%
State,Alabama,All,2023-24,5,,6.8,9.1,8,75,40,110,"1,215",> 100%
State,Alabama,All,2023-24,6,,5.7,7.1,6,65,27,89,"1,246",> 100%
State,Alabama,All,2023-24,7,,6.4,7.6,5,69,20,88,"1,156",> 100%
State,Alabama,All,2023-24,8,,6.9,7.8,5,73,26,88,"1,130",> 100%
State,Alabama,All,2023-24,9,,6.1,7.6,4,65,29,86,"1,130",> 100%
State,Alabama,All,2023-24,10,,6.5,7.9,7,67,24,91,"1,147",> 100%
State,Alabama,All,2023-24,11,,5.3,6.4,3,57,20,73,"1,134",> 100%
State,Alabama,All,2023-24,12,,4.9,5.7,2,52,15,62,"1,097",> 100%
State,Alabama,All,2023-24,13,,5.9,6.9,2,61,18,74,"1,073",> 100%
State,Alabama,All,2023-24,14,,5.9,6.4,2,66,12,73,"1,148",> 100%
State,Alabama,All,2023-24,15,,6.3,7,3,69,11,80,"1,146",> 100%
State,Alabama,All,2023-24,16,,4.5,5,1,49,9,56,"1,109",> 100%
State,Alabama,All,2023-24,17,,4,4.5,1,44,6,51,"1,129",> 100%
State,Alabama,All,2023-24,18,,3.6,4.2,0,38,9,45,"1,064",> 100%
State,Alabama,All,2023-24,19,,4.7,5.2,2,48,6,55,"1,053",> 100%
State,Alabama,All,2023-24,20,,4.7,5.1,0,50,4,54,"1,064",> 100%
State,Alabama,All,2023-24,21,,4.3,4.4,0,47,1,48,"1,101",> 100%
State,Alabama,All,2023-24,22,,4.5,4.9,0,45,5,49,"1,006",> 100%
State,Alabama,All,2023-24,23,,5,5.4,0,55,6,60,"1,110",> 100%
State,Alabama,All,2023-24,24,,4.2,4.5,0,47,4,50,"1,111",> 100%
State,Alabama,All,2023-24,25,,4.3,5.1,1,45,8,54,"1,058",> 100%
State,Alabama,All,2023-24,26,,4.7,5.1,0,49,5,53,"1,040",> 100%
State,Alabama,All,2023-24,27,,5.4,6,0,61,9,67,"1,120",> 100%
State,Alabama,All,2023-24,28,,4.2,4.8,1,41,7,48,991,> 100%
State,Alabama,All,2023-24,29,,3.6,4.7,0,37,15,48,"1,016",> 100%
State,Alabama,All,2023-24,30,,3.9,5.1,1,43,15,57,"1,119",> 100%
State,Alabama,All,2023-24,31,,4.6,5.6,0,51,15,61,"1,099",> 100%
State,Alabama,All,2023-24,32,,4.3,5.2,0,49,20,59,"1,127",> 100%
State,Alabama,All,2023-24,33,,4.6,5.4,0,49,16,58,"1,066",> 100%
State,Alabama,All,2023-24,34,,5.4,7.1,1,59,24,78,"1,101",> 100%
State,Alabama,All,2023-24,35,,7.4,9,0,80,27,98,"1,084",> 100%
State,Alabama,All,2023-24,36,,5.5,6.5,0,60,25,72,"1,100",> 100%
State,Alabama,All,2023-24,37,,4.1,5.8,0,45,24,63,"1,094",> 100%
State,Alabama,All,2023-24,38,,5.4,6.3,1,56,18,67,"1,060",> 100%
State,Alabama,All,2023-24,39,,5,6,1,52,15,64,"1,063",> 100%
State,Alaska,All,2023-24,40,,4.6,7.3,1,4,3,8,109,> 100%
State,Alaska,All,2023-24,41,,6.1,7.9,2,5,4,9,114,> 100%
State,Alaska,All,2023-24,42,,7.8,8.8,0,8,1,9,102,> 100%
State,Alaska,All,2023-24,43,,6.4,8.2,1,6,2,9,110,> 100%
State,Alaska,All,2023-24,44,,9.6,12.5,6,4,4,13,104,> 100%
State,Alaska,All,2023-24,45,,6,6,2,6,0,8,133,> 100%
State,Alaska,All,2023-24,46,,6.8,9.3,3,5,3,11,118,> 100%
State,Alaska,All,2023-24,47,,2.6,2.6,1,2,0,3,117,> 100%
State,Alaska,All,2023-24,48,,4.5,4.5,1,4,0,5,110,> 100%
State,Alaska,All,2023-24,49,,4,4,0,4,0,4,100,> 100%
State,Alaska,All,2023-24,50,,4.8,4.8,0,5,1,5,105,> 100%
State,Alaska,All,2023-24,51,,0,1.8,0,0,2,2,109,> 100%
State,Alaska,All,2023-24,52,,4.6,4.6,1,5,0,6,130,> 100%
State,Alaska,All,2023-24,1,,3.7,3.7,0,4,0,4,109,> 100%
State,Alaska,All,2023-24,2,,8.3,9.2,1,9,1,11,120,> 100%
State,Alaska,All,2023-24,3,,8.2,10.9,1,8,4,12,110,> 100%
State,Alaska,All,2023-24,4,,6.7,6.7,1,7,2,8,119,> 100%
State,Alaska,All,2023-24,5,,2.5,4.1,0,3,3,5,121,> 100%
State,Alaska,All,2023-24,6,,5.9,6.7,1,7,2,9,135,> 100%
State,Alaska,All,2023-24,7,,9.3,10.9,0,12,4,14,129,> 100%
State,Alaska,All,2023-24,8,,4.2,5.9,0,5,2,7,118,> 100%
State,Alaska,All,2023-24,9,,8.5,8.5,0,10,2,10,117,> 100%
State,Alaska,All,2023-24,10,,5,7,1,4,5,7,100,> 100%
State,Alaska,All,2023-24,11,,4.8,6.7,1,4,2,7,105,> 100%
State,Alaska,All,2023-24,12,,3.6,4.5,1,3,2,5,110,> 100%
