STATENAME,ACTIVITY LEVEL,WEEK,SEASON
Alabama,Level 1,40,2024-25
Alaska,Level 1,40,2024-25
Arizona,Level 1,40,2024-25
Arkansas,Level 1,40,2024-25
California,Level 1,40,2024-25
Colorado,Level 1,40,2024-25
Connecticut,Level 3,40,2024-25
Delaware,Level 1,40,2024-25
District of Columbia,Level 2,40,2024-25
Florida,Level 1,40,2024-25
Georgia,Level 2,40,2024-25
Hawaii,Level 1,40,2024-25
Idaho,Level 1,40,2024-25
Illinois,Level 1,40,2024-25
Indiana,Level 3,40,2024-25
Iowa,Level 1,40,2024-25
Kansas,Level 1,40,2024-25
Kentucky,Level 1,40,2024-25
Louisiana,Level 1,40,2024-25
Maine,Level 1,40,2024-25
Maryland,Level 2,40,2024-25
Massachusetts,Level 2,40,2024-25
Michigan,Level 1,40,2024-25
Minnesota,Level 1,40,2024-25
Mississippi,Level 2,40,2024-25
Missouri,Level 1,40,2024-25
Montana,Level 1,40,2024-25
Nebraska,Level 1,40,2024-25
Nevada,Level 1,40,2024-25
New Hampshire,Level 2,40,2024-25
New Jersey,Level 3,40,2024-25
New Mexico,Level 1,40,2024-25
New York,Level 2,40,2024-25
North Carolina,Level 2,40,2024-25
North Dakota,Level 1,40,2024-25
Ohio,Level 1,40,2024-25
Oklahoma,Level 1,40,2024-25
Oregon,Level 1,40,2024-25
Pennsylvania,Level 2,40,2024-25
Rhode Island,Level 2,40,2024-25
South Carolina,Level 1,40,2024-25
South Dakota,Level 1,40,2024-25
Tennessee,Level 1,40,2024-25
Texas,Level 1,40,2024-25
Utah,Level 1,40,2024-25
Vermont,Level 1,40,2024-25
Virginia,Level 2,40,2024-25
Washington,Level 1,40,2024-25
West Virginia,Level 1,40,2024-25
Wisconsin,Level 2,40,2024-25
Wyoming,Level 1,40,2024-25
New York City,Level 2,40,2024-25
Commonwealth of the Northern Mariana Islands,Level 1,40,2024-25
Puerto Rico,Level 1,40,2024-25
Virgin Islands,Level 2,40,2024-25
Alabama,Level 2,41,2024-25
Alaska,Level 1,41,2024-25
Arizona,Level 1,41,2024-25
Arkansas,Level 1,41,2024-25
California,Level 1,41,2024-25
Colorado,Level 1,41,2024-25
Connecticut,Level 3,41,2024-25
Delaware,Level 1,41,2024-25
District of Columbia,Level 4,41,2024-25
Florida,Level 1,41,2024-25
Georgia,Level 2,41,2024-25
Hawaii,Level 1,41,2024-25
Idaho,Level 1,41,2024-25
Illinois,Level 1,41,2024-25
Indiana,Level 3,41,2024-25
Iowa,Level 1,41,2024-25
Kansas,Level 1,41,2024-25
Kentucky,Level 1,41,2024-25
Louisiana,Level 1,41,2024-25
Maine,Level 2,41,2024-25
Maryland,Level 3,41,2024-25
Massachusetts,Level 2,41,2024-25
Michigan,Level 1,41,2024-25
Minnesota,Level 1,41,2024-25
Mississippi,Level 2,41,2024-25
Missouri,Level 1,41,2024-25
Montana,Level 1,41,2024-25
Nebraska,Level 1,41,2024-25
Nevada,Level 1,41,2024-25
New Hampshire,Level 2,41,2024-25
New Jersey,Level 4,41,2024-25
New Mexico,Level 1,41,2024-25
New York,Level 3,41,2024-25
North Carolina,Level 2,41,2024-25
North Dakota,Level 1,41,2024-25
Ohio,Level 2,41,2024-25
Oklahoma,Level 1,41,2024-25
Oregon,Level 1,41,2024-25
Pennsylvania,Level 2,41,2024-25
Rhode Island,Level 2,41,2024-25
South Carolina,Level 2,41,2024-25
South Dakota,Level 1,41,2024-25
Tennessee,Level 1,41,2024-25
Texas,Level 1,41,2024-25
Utah,Level 1,41,2024-25
Vermont,Level 1,41,2024-25
Virginia,Level 3,41,2024-25
Washington,Level 1,41,2024-25
West Virginia,Level 1,41,2024-25
Wisconsin,Level 3,41,2024-25
Wyoming,Level 1,41,2024-25
New York City,Level 3,41,2024-25
Commonwealth of the Northern Mariana Islands,Level 1,41,2024-25
Puerto Rico,Level 1,41,2024-25
Virgin Islands,Level 1,41,2024-25
Alabama,Level 2,42,2024-25
Alaska,Level 3,42,2024-25
Arizona,Level 1,42,2024-25
Arkansas,Level 1,42,2024-25
California,Level 1,42,2024-25
Colorado,Level 1,42,2024-25
Connecticut,Level 4,42,2024-25
Delaware,Level 1,42,2024-25
District of Columbia,Level 6,42,2024-25
Florida,Level 1,42,2024-25
Georgia,Level 2,42,2024-25
Hawaii,Level 1,42,2024-25
Idaho,Level 1,42,2024-25
Illinois,Level 1,42,2024-25
Indiana,Level 4,42,2024-25
Iowa,Level 1,42,2024-25
Kansas,Level 1,42,2024-25
Kentucky,Level 1,42,2024-25
Louisiana,Level 1,42,2024-25
Maine,Level 2,42,2024-25
Maryland,Level 3,42,2024-25
Massachusetts,Level 3,42,2024-25
Michigan,Level 1,42,2024-25
Minnesota,Level 1,42,2024-25
Mississippi,Level 1,42,2024-25
Missouri,Level 2,42,2024-25
Montana,Level 1,42,2024-25
Nebraska,Level 1,42,2024-25
Nevada,Level 1,42,2024-25
New Hampshire,Level 2,42,2024-25
New Jersey,Level 5,42,2024-25
New Mexico,Level 1,42,2024-25
New York,Level 3,42,2024-25
North Carolina,Level 3,42,2024-25
North Dakota,Level 1,42,2024-25
Ohio,Level 4,42,2024-25
Oklahoma,Level 1,42,2024-25
Oregon,Level 1,42,2024-25
Pennsylvania,Level 2,42,2024-25
Rhode Island,Level 3,42,2024-25
South Carolina,Level 3,42,2024-25
South Dakota,Level 1,42,2024-25
Tennessee,Level 1,42,2024-25
Texas,Level 1,42,2024-25
Utah,Level 1,42,2024-25
Vermont,Level 1,42,2024-25
Virginia,Level 4,42,2024-25
Washington,Level 1,42,2024-25
West Virginia,Level 1,42,2024-25
Wisconsin,Level 3,42,2024-25
Wyoming,Level 1,42,2024-25
New York City,Level 3,42,2024-25
Commonwealth of the Northern Mariana Islands,Level 1,42,2024-25
Puerto Rico,Level 1,42,2024-25
Virgin Islands,Level 1,42,2024-25
Alabama,Level 2,43,2024-25
Alaska,Level 1,43,2024-25
Arizona,Level 1,43,2024-25
Arkansas,Level 2,43,2024-25
California,Level 1,43,2024-25
Colorado,Level 1,43,2024-25
Connecticut,Level 4,43,2024-25
Delaware,Level 1,43,2024-25
District of Columbia,Level 7,43,2024-25
Florida,Level 2,43,2024-25
Georgia,Level 4,43,2024-25
Hawaii,Level 1,43,2024-25
Idaho,Level 1,43,2024-25
Illinois,Level 1,43,2024-25
Indiana,Level 4,43,2024-25
Iowa,Level 2,43,2024-25
Kansas,Level 2,43,2024-25
Kentucky,Level 1,43,2024-25
Louisiana,Level 3,43,2024-25
Maine,Level 3,43,2024-25
Maryland,Level 4,43,2024-25
Massachusetts,Level 3,43,2024-25
Michigan,Level 2,43,2024-25
Minnesota,Level 1,43,2024-25
Mississippi,Level 1,43,2024-25
Missouri,Level 1,43,2024-25
Montana,Level 1,43,2024-25
Nebraska,Level 1,43,2024-25
Nevada,Level 1,43,2024-25
New Hampshire,Level 3,43,2024-25
New Jersey,Level 5,43,2024-25
New Mexico,Level 1,43,2024-25
New York,Level 3,43,2024-25
North Carolina,Level 3,43,2024-25
North Dakota,Level 1,43,2024-25
Ohio,Level 4,43,2024-25
Oklahoma,Level 1,43,2024-25
Oregon,Level 1,43,2024-25
Pennsylvania,Level 2,43,2024-25
Rhode Island,Level 3,43,2024-25
