REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
Alabama,2024,40,299,2,0,0.67,0.67,0
Alaska,2024,40,X,X,X,X,X,X
Arizona,2024,40,339,5,0,1.47,1.47,0
Arkansas,2024,40,405,1,0,0.25,0.25,0
California,2024,40,6336,98,4,1.61,1.55,0.06
Colorado,2024,40,1068,4,0,0.37,0.37,0
Connecticut,2024,40,1623,7,2,0.55,0.43,0.12
Delaware,2024,40,X,X,X,X,X,X
District of Columbia,2024,40,X,X,X,X,X,X
Florida,2024,40,343,5,2,2.04,1.46,0.58
Georgia,2024,40,1778,3,0,0.17,0.17,0
Hawaii,2024,40,1056,25,0,2.37,2.37,0
Idaho,2024,40,303,3,0,0.99,0.99,0
Illinois,2024,40,339,4,0,1.18,1.18,0
Indiana,2024,40,243,0,0,0,0,0
Iowa,2024,40,1786,2,2,0.22,0.11,0.11
Kansas,2024,40,X,X,X,X,X,X
Kentucky,2024,40,665,1,0,0.15,0.15,0
Louisiana,2024,40,49,0,0,0,0,0
Maine,2024,40,727,5,0,0.69,0.69,0
Maryland,2024,40,417,0,0,0,0,0
Massachusetts,2024,40,1946,4,1,0.26,0.21,0.05
Michigan,2024,40,498,1,0,0.2,0.2,0
Minnesota,2024,40,1592,7,2,0.57,0.44,0.13
Mississippi,2024,40,183,1,7,4.37,0.55,3.83
Missouri,2024,40,1433,3,2,0.35,0.21,0.14
Montana,2024,40,389,4,0,1.03,1.03,0
Nebraska,2024,40,1337,5,1,0.45,0.37,0.07
Nevada,2024,40,682,11,1,1.76,1.61,0.15
New Hampshire,2024,40,X,X,X,X,X,X
New Jersey,2024,40,600,4,0,0.67,0.67,0
New Mexico,2024,40,3132,15,1,0.51,0.48,0.03
New York,2024,40,3392,7,1,0.24,0.21,0.03
North Carolina,2024,40,2688,14,0,0.52,0.52,0
North Dakota,2024,40,265,1,0,0.38,0.38,0
Ohio,2024,40,6553,15,3,0.27,0.23,0.05
Oklahoma,2024,40,514,1,0,0.19,0.19,0
Oregon,2024,40,1900,11,3,0.74,0.58,0.16
Pennsylvania,2024,40,1160,4,0,0.34,0.34,0
Rhode Island,2024,40,X,X,X,X,X,X
South Carolina,2024,40,366,1,0,0.27,0.27,0
South Dakota,2024,40,98,0,0,0,0,0
Tennessee,2024,40,25,0,0,0,0,0
Texas,2024,40,5256,53,3,1.07,1.01,0.06
Utah,2024,40,X,X,X,X,X,X
Vermont,2024,40,429,0,0,0,0,0
Virginia,2024,40,1245,2,0,0.16,0.16,0
Washington,2024,40,2636,32,5,1.4,1.21,0.19
West Virginia,2024,40,996,0,0,0,0,0
Wisconsin,2024,40,7458,24,16,0.54,0.32,0.21
Wyoming,2024,40,X,X,X,X,X,X
Puerto Rico,2024,40,X,X,X,X,X,X
Virgin Islands,2024,40,X,X,X,X,X,X
New York City,2024,40,X,X,X,X,X,X
Alabama,2024,41,307,0,0,0,0,0
Alaska,2024,41,X,X,X,X,X,X
Arizona,2024,41,340,4,0,1.18,1.18,0
Arkansas,2024,41,491,1,0,0.2,0.2,0
California,2024,41,10090,146,10,1.55,1.45,0.1
Colorado,2024,41,1077,9,0,0.84,0.84,0
Connecticut,2024,41,1542,3,4,0.45,0.19,0.26
Delaware,2024,41,X,X,X,X,X,X
District of Columbia,2024,41,X,X,X,X,X,X
Florida,2024,41,326,8,1,2.76,2.45,0.31
Georgia,2024,41,881,1,1,0.23,0.11,0.11
Hawaii,2024,41,942,12,0,1.27,1.27,0
Idaho,2024,41,280,1,0,0.36,0.36,0
Illinois,2024,41,434,6,1,1.61,1.38,0.23
Indiana,2024,41,299,3,1,1.34,1,0.33
Iowa,2024,41,1782,0,1,0.06,0,0.06
Kansas,2024,41,X,X,X,X,X,X
Kentucky,2024,41,610,1,0,0.16,0.16,0
Louisiana,2024,41,54,0,0,0,0,0
Maine,2024,41,898,2,0,0.22,0.22,0
Maryland,2024,41,399,0,0,0,0,0
Massachusetts,2024,41,1924,4,0,0.21,0.21,0
Michigan,2024,41,504,2,0,0.4,0.4,0
Minnesota,2024,41,1663,6,0,0.36,0.36,0
Mississippi,2024,41,206,1,6,3.4,0.49,2.91
Missouri,2024,41,1849,4,0,0.22,0.22,0
Montana,2024,41,400,5,0,1.25,1.25,0
Nebraska,2024,41,1281,10,1,0.86,0.78,0.08
Nevada,2024,41,617,6,0,0.97,0.97,0
New Hampshire,2024,41,X,X,X,X,X,X
New Jersey,2024,41,659,4,0,0.61,0.61,0
New Mexico,2024,41,3117,12,2,0.45,0.38,0.06
New York,2024,41,3293,2,1,0.09,0.06,0.03
North Carolina,2024,41,2825,8,1,0.32,0.28,0.04
North Dakota,2024,41,227,0,0,0,0,0
Ohio,2024,41,6748,22,3,0.37,0.33,0.04
Oklahoma,2024,41,495,1,0,0.2,0.2,0
Oregon,2024,41,1702,8,0,0.47,0.47,0
Pennsylvania,2024,41,1196,1,0,0.08,0.08,0
Rhode Island,2024,41,X,X,X,X,X,X
South Carolina,2024,41,345,1,0,0.29,0.29,0
South Dakota,2024,41,102,0,0,0,0,0
Tennessee,2024,41,18,0,0,0,0,0
Texas,2024,41,5276,72,4,1.44,1.36,0.08
Utah,2024,41,X,X,X,X,X,X
Vermont,2024,41,385,0,0,0,0,0
Virginia,2024,41,1272,3,1,0.31,0.24,0.08
Washington,2024,41,2623,24,4,1.07,0.91,0.15
West Virginia,2024,41,987,3,0,0.3,0.3,0
Wisconsin,2024,41,7542,18,10,0.37,0.24,0.13
Wyoming,2024,41,X,X,X,X,X,X
Puerto Rico,2024,41,X,X,X,X,X,X
Virgin Islands,2024,41,X,X,X,X,X,X
New York City,2024,41,X,X,X,X,X,X
Alabama,2024,42,354,0,0,0,0,0
Alaska,2024,42,X,X,X,X,X,X
Arizona,2024,42,333,4,0,1.2,1.2,0
Arkansas,2024,42,437,3,1,0.92,0.69,0.23
California,2024,42,10289,154,12,1.61,1.5,0.12
Colorado,2024,42,1079,8,1,0.83,0.74,0.09
Connecticut,2024,42,1590,2,3,0.31,0.13,0.19
Delaware,2024,42,X,X,X,X,X,X
District of Columbia,2024,42,X,X,X,X,X,X
Florida,2024,42,338,7,0,2.07,2.07,0
Georgia,2024,42,1869,12,0,0.64,0.64,0
Hawaii,2024,42,970,5,0,0.52,0.52,0
Idaho,2024,42,310,0,0,0,0,0
Illinois,2024,42,417,2,1,0.72,0.48,0.24
Indiana,2024,42,247,0,0,0,0,0
Iowa,2024,42,1797,3,0,0.17,0.17,0
Kansas,2024,42,X,X,X,X,X,X
Kentucky,2024,42,660,0,0,0,0,0
Louisiana,2024,42,56,0,0,0,0,0
Maine,2024,42,908,0,0,0,0,0
Maryland,2024,42,406,1,0,0.25,0.25,0
