STATENAME,ACTIVITY_LEVEL,WEEK,SEASON,STATE_ABBR
Alabama,Level 1,40,2024-25,AL
Alaska,Level 1,40,2024-25,AK
Arizona,Level 1,40,2024-25,AZ
Arkansas,Level 1,40,2024-25,AR
California,Level 1,40,2024-25,CA
Colorado,Level 1,40,2024-25,CO
Connecticut,Level 3,40,2024-25,CT
Delaware,Level 1,40,2024-25,DE
District of Columbia,Level 2,40,2024-25,
Florida,Level 1,40,2024-25,FL
Georgia,Level 2,40,2024-25,GA
Hawaii,Level 1,40,2024-25,HI
Idaho,Level 1,40,2024-25,ID
Illinois,Level 1,40,2024-25,IL
Indiana,Level 3,40,2024-25,IN
Iowa,Level 1,40,2024-25,IA
Kansas,Level 1,40,2024-25,KS
Kentucky,Level 1,40,2024-25,KY
Louisiana,Level 1,40,2024-25,LA
Maine,Level 1,40,2024-25,ME
Maryland,Level 2,40,2024-25,MD
Massachusetts,Level 2,40,2024-25,MA
Michigan,Level 1,40,2024-25,MI
Minnesota,Level 1,40,2024-25,MN
Mississippi,Level 2,40,2024-25,MS
Missouri,Level 1,40,2024-25,MO
Montana,Level 1,40,2024-25,MT
Nebraska,Level 1,40,2024-25,NE
Nevada,Level 1,40,2024-25,NV
New Hampshire,Level 2,40,2024-25,NH
New Jersey,Level 3,40,2024-25,NJ
New Mexico,Level 1,40,2024-25,NM
New York,Level 2,40,2024-25,NY
North Carolina,Level 2,40,2024-25,NC
North Dakota,Level 1,40,2024-25,ND
Ohio,Level 1,40,2024-25,OH
Oklahoma,Level 1,40,2024-25,OK
Oregon,Level 1,40,2024-25,OR
Pennsylvania,Level 2,40,2024-25,PA
Rhode Island,Level 2,40,2024-25,RI
South Carolina,Level 1,40,2024-25,SC
South Dakota,Level 1,40,2024-25,SD
Tennessee,Level 1,40,2024-25,TN
Texas,Level 1,40,2024-25,TX
Utah,Level 1,40,2024-25,UT
Vermont,Level 1,40,2024-25,VT
Virginia,Level 2,40,2024-25,VA
Washington,Level 1,40,2024-25,WA
West Virginia,Level 1,40,2024-25,WV
Wisconsin,Level 2,40,2024-25,WI
Wyoming,Level 1,40,2024-25,WY
New York City,Level 2,40,2024-25,
Commonwealth of the Northern Mariana Islands,Level 1,40,2024-25,
Puerto Rico,Level 1,40,2024-25,
Virgin Islands,Level 2,40,2024-25,
Alabama,Level 2,41,2024-25,AL
Alaska,Level 1,41,2024-25,AK
Arizona,Level 1,41,2024-25,AZ
Arkansas,Level 1,41,2024-25,AR
California,Level 1,41,2024-25,CA
Colorado,Level 1,41,2024-25,CO
Connecticut,Level 3,41,2024-25,CT
Delaware,Level 1,41,2024-25,DE
