REGION,YEAR,WEEK,ILITOTAL,STATE_ABBR
Alabama,2024,40,758.0,AL
Alaska,2024,40,83.0,AK
Arizona,2024,40,1114.0,AZ
Arkansas,2024,40,242.0,AR
California,2024,40,6610.0,CA
Colorado,2024,40,828.0,CO
Connecticut,2024,40,818.0,CT
Delaware,2024,40,80.0,DE
Florida,2024,40,7214.0,FL
Georgia,2024,40,2099.0,GA
Hawaii,2024,40,721.0,HI
Idaho,2024,40,134.0,ID
Illinois,2024,40,900.0,IL
Indiana,2024,40,1563.0,IN
Iowa,2024,40,53.0,IA
Kansas,2024,40,175.0,KS
Kentucky,2024,40,816.0,KY
Louisiana,2024,40,772.0,LA
Maine,2024,40,151.0,ME
Maryland,2024,40,1027.0,MD
Massachusetts,2024,40,1345.0,MA
Michigan,2024,40,1460.0,MI
Minnesota,2024,40,399.0,MN
Mississippi,2024,40,371.0,MS
Missouri,2024,40,236.0,MO
Montana,2024,40,32.0,MT
Nebraska,2024,40,328.0,NE
Nevada,2024,40,602.0,NV
New Hampshire,2024,40,79.0,NH
New Jersey,2024,40,932.0,NJ
New Mexico,2024,40,318.0,NM
New York,2024,40,1772.0,NY
North Carolina,2024,40,1329.0,NC
North Dakota,2024,40,128.0,ND
Ohio,2024,40,786.0,OH
Oklahoma,2024,40,234.0,OK
Oregon,2024,40,402.0,OR
Pennsylvania,2024,40,735.0,PA
Rhode Island,2024,40,146.0,RI
South Carolina,2024,40,610.0,SC
South Dakota,2024,40,60.0,SD
Tennessee,2024,40,606.0,TN
Texas,2024,40,1441.0,TX
Utah,2024,40,160.0,UT
Vermont,2024,40,46.0,VT
Virginia,2024,40,3059.0,VA
Washington,2024,40,885.0,WA
West Virginia,2024,40,157.0,WV
Wisconsin,2024,40,356.0,WI
Wyoming,2024,40,44.0,WY
Alabama,2024,41,806.0,AL
Alaska,2024,41,76.0,AK
Arizona,2024,41,1292.0,AZ
Arkansas,2024,41,237.0,AR
California,2024,41,6712.0,CA
Colorado,2024,41,892.0,CO
Connecticut,2024,41,812.0,CT
Delaware,2024,41,84.0,DE
Florida,2024,41,6342.0,FL
Georgia,2024,41,2072.0,GA
Hawaii,2024,41,628.0,HI
Idaho,2024,41,262.0,ID
Illinois,2024,41,1057.0,IL
Indiana,2024,41,1631.0,IN
Iowa,2024,41,46.0,IA
Kansas,2024,41,203.0,KS
Kentucky,2024,41,934.0,KY
Louisiana,2024,41,773.0,LA
Maine,2024,41,193.0,ME
Maryland,2024,41,1128.0,MD
Massachusetts,2024,41,1355.0,MA
Michigan,2024,41,1696.0,MI
Minnesota,2024,41,407.0,MN
Mississippi,2024,41,344.0,MS
Missouri,2024,41,255.0,MO
Montana,2024,41,45.0,MT
Nebraska,2024,41,388.0,NE
Nevada,2024,41,533.0,NV
New Hampshire,2024,41,91.0,NH
New Jersey,2024,41,1044.0,NJ
New Mexico,2024,41,327.0,NM
New York,2024,41,1933.0,NY
North Carolina,2024,41,1487.0,NC
North Dakota,2024,41,136.0,ND
Ohio,2024,41,977.0,OH
Oklahoma,2024,41,231.0,OK
Oregon,2024,41,426.0,OR
Pennsylvania,2024,41,843.0,PA
Rhode Island,2024,41,175.0,RI
South Carolina,2024,41,645.0,SC
South Dakota,2024,41,65.0,SD
Tennessee,2024,41,573.0,TN
Texas,2024,41,1470.0,TX
Utah,2024,41,182.0,UT
Vermont,2024,41,31.0,VT
Virginia,2024,41,3274.0,VA
Washington,2024,41,922.0,WA
West Virginia,2024,41,193.0,WV
Wisconsin,2024,41,396.0,WI
Wyoming,2024,41,57.0,WY
Alabama,2024,42,856.0,AL
Alaska,2024,42,74.0,AK
Arizona,2024,42,1159.0,AZ
Arkansas,2024,42,256.0,AR
California,2024,42,6884.0,CA
Colorado,2024,42,871.0,CO
Connecticut,2024,42,942.0,CT
Delaware,2024,42,86.0,DE
Florida,2024,42,6700.0,FL
Georgia,2024,42,1919.0,GA
Hawaii,2024,42,685.0,HI
Idaho,2024,42,390.0,ID
Illinois,2024,42,971.0,IL
Indiana,2024,42,1822.0,IN
Iowa,2024,42,43.0,IA
Kansas,2024,42,191.0,KS
Kentucky,2024,42,1004.0,KY
Louisiana,2024,42,782.0,LA
Maine,2024,42,219.0,ME
Maryland,2024,42,1230.0,MD
Massachusetts,2024,42,1518.0,MA
Michigan,2024,42,1848.0,MI
Minnesota,2024,42,437.0,MN
Mississippi,2024,42,254.0,MS
Missouri,2024,42,276.0,MO
Montana,2024,42,30.0,MT
Nebraska,2024,42,324.0,NE
Nevada,2024,42,578.0,NV
New Hampshire,2024,42,99.0,NH
New Jersey,2024,42,1179.0,NJ
New Mexico,2024,42,370.0,NM
New York,2024,42,1961.0,NY
North Carolina,2024,42,1596.0,NC
North Dakota,2024,42,146.0,ND
Ohio,2024,42,1100.0,OH
Oklahoma,2024,42,199.0,OK
Oregon,2024,42,389.0,OR
Pennsylvania,2024,42,910.0,PA
Rhode Island,2024,42,186.0,RI
South Carolina,2024,42,713.0,SC
South Dakota,2024,42,74.0,SD
Tennessee,2024,42,565.0,TN
Texas,2024,42,1403.0,TX
Utah,2024,42,71.0,UT
Vermont,2024,42,59.0,VT
Virginia,2024,42,3630.0,VA
Washington,2024,42,935.0,WA
West Virginia,2024,42,236.0,WV
Wisconsin,2024,42,423.0,WI
Wyoming,2024,42,38.0,WY
Alabama,2024,43,973.0,AL
Alaska,2024,43,66.0,AK
Arizona,2024,43,1346.0,AZ
Arkansas,2024,43,281.0,AR
California,2024,43,7507.0,CA
Colorado,2024,43,977.0,CO
Connecticut,2024,43,1019.0,CT
Delaware,2024,43,117.0,DE
Florida,2024,43,7538.0,FL
Georgia,2024,43,2637.0,GA
Hawaii,2024,43,697.0,HI
Idaho,2024,43,562.0,ID
Illinois,2024,43,1072.0,IL
Indiana,2024,43,1846.0,IN
Iowa,2024,43,57.0,IA
Kansas,2024,43,241.0,KS
Kentucky,2024,43,1006.0,KY
Louisiana,2024,43,973.0,LA
Maine,2024,43,257.0,ME
Maryland,2024,43,1451.0,MD
Massachusetts,2024,43,1656.0,MA
Michigan,2024,43,2053.0,MI
Minnesota,2024,43,484.0,MN
Mississippi,2024,43,290.0,MS
Missouri,2024,43,250.0,MO
Montana,2024,43,32.0,MT
Nebraska,2024,43,335.0,NE
Nevada,2024,43,641.0,NV
New Hampshire,2024,43,122.0,NH
New Jersey,2024,43,1255.0,NJ
New Mexico,2024,43,395.0,NM
New York,2024,43,2100.0,NY
North Carolina,2024,43,1844.0,NC
North Dakota,2024,43,133.0,ND
Ohio,2024,43,1250.0,OH
Oklahoma,2024,43,222.0,OK
Oregon,2024,43,378.0,OR
Pennsylvania,2024,43,948.0,PA
Rhode Island,2024,43,188.0,RI
South Carolina,2024,43,819.0,SC
South Dakota,2024,43,73.0,SD
Tennessee,2024,43,652.0,TN
Texas,2024,43,1373.0,TX
Utah,2024,43,183.0,UT
Vermont,2024,43,63.0,VT
Virginia,2024,43,3942.0,VA
Washington,2024,43,1188.0,WA
West Virginia,2024,43,207.0,WV
Wisconsin,2024,43,471.0,WI
Wyoming,2024,43,42.0,WY
Alabama,2024,44,1062.0,AL
Alaska,2024,44,87.0,AK
Arizona,2024,44,1626.0,AZ
Arkansas,2024,44,264.0,AR
California,2024,44,7978.0,CA
Colorado,2024,44,1026.0,CO
Connecticut,2024,44,922.0,CT
Delaware,2024,44,111.0,DE
Florida,2024,44,8301.0,FL
Georgia,2024,44,2708.0,GA
Hawaii,2024,44,744.0,HI
Idaho,2024,44,718.0,ID
Illinois,2024,44,1106.0,IL
Indiana,2024,44,1745.0,IN
Iowa,2024,44,66.0,IA
Kansas,2024,44,213.0,KS
Kentucky,2024,44,1180.0,KY
Louisiana,2024,44,1013.0,LA
Maine,2024,44,252.0,ME
Maryland,2024,44,1300.0,MD
Massachusetts,2024,44,1635.0,MA
Michigan,2024,44,2186.0,MI
Minnesota,2024,44,496.0,MN
Mississippi,2024,44,324.0,MS
Missouri,2024,44,242.0,MO
Montana,2024,44,26.0,MT
Nebraska,2024,44,342.0,NE
Nevada,2024,44,679.0,NV
New Hampshire,2024,44,109.0,NH
New Jersey,2024,44,1132.0,NJ
New Mexico,2024,44,395.0,NM
New York,2024,44,1911.0,NY
